City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,San Patricio,US,95.54,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
4,Guatire,VE,77.5,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
5,Banda Aceh,ID,80.44,overcast clouds,5.5577,95.3222,Sulthan Hotel International
6,Avarua,CK,77.05,clear sky,-21.2078,-159.775,Paradise Inn
8,Saint George,US,99.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
10,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
13,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
18,Umm Bab,QA,96.48,clear sky,25.2142,50.8072,mike beach
19,Hambantota,LK,79.57,overcast clouds,6.1241,81.1185,Bungalow 63
20,Butaritari,KI,83.91,broken clouds,3.0707,172.7902,Isles Sunset Lodge
22,Tubuala,PA,78.91,overcast clouds,9.5167,-79.0333,Río Nabagana
25,Anupgarh,IN,90.68,overcast clouds,29.1911,73.2086,Kushal & Vishal DTH Kappa Internet Service
26,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
31,Hithadhoo,MV,82.17,overcast clouds,-0.6,73.0833,Scoop Guest House
37,Pochutla,MX,91.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
38,Santa Rosalia,MX,89.38,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
39,Namatanai,PG,79.56,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
40,Santa Marta,CO,95.34,broken clouds,11.2408,-74.199,Casa de Isabella
44,Erenhot,CN,78.69,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
45,Albany,US,77.45,broken clouds,42.6001,-73.9662,
52,Kimbe,PG,76.26,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
57,Matara,LK,76.51,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
59,Mingshui,CN,76.68,overcast clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
60,Jamestown,US,78.3,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
61,Atuona,PF,77.07,scattered clouds,-9.8,-139.0333,Villa Enata
72,Tanah Merah,MY,76.82,overcast clouds,5.8,102.15,Humaira Hotel
75,Thompson,CA,77.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
77,Pedro Carbo,EC,81.88,scattered clouds,-1.8333,-80.2333,Centro turístico y hostería oasis pedro carbo
78,Kavieng,PG,82.17,light rain,-2.5744,150.7967,Nusa Island Retreat
85,Fare,PF,77.79,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
86,Conceicao Do Araguaia,BR,91.53,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
87,Jiuquan,CN,81.19,clear sky,39.7432,98.5174,Jiuquan Hotel
88,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
89,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
90,Hami,CN,86.52,overcast clouds,42.8,93.45,Laoyutang Resort
92,Sur,OM,91.33,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
101,Skeldon,GY,80.04,overcast clouds,5.8833,-57.1333,Rits Hotel
103,Fukue,JP,79.63,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
104,Buala,SB,81.23,light rain,-8.145,159.5921,Maringe Lagoon Lodge
105,Puerto Palomas,MX,90.73,scattered clouds,31.7667,-107.6167,Hotel San Carlos
106,Manaure,CO,91.24,overcast clouds,11.7751,-72.4445,Hotel Palaaima
109,Honiara,SB,79.36,overcast clouds,-9.4333,159.95,Heritage Park Hotel
116,Puerto Escondido,MX,89.42,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
120,Hobyo,SO,76.93,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
121,Broome,US,78.55,few clouds,42.2506,-75.833,Chenango Valley State Park
122,Davidson,US,92.53,few clouds,36.1501,-86.7833,Best Western Plus Music Row
125,Cody,US,88.92,clear sky,44.5263,-109.0565,Buffalo Bill (Cabins) Village
128,Shellbrook,CA,76.23,broken clouds,53.2168,-106.4011,Shellbrook Hotel
129,Katsuura,JP,81.1,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
131,Rudbar,AF,91.51,clear sky,30.15,62.6,
135,Avera,US,92.75,overcast clouds,33.194,-82.5271,
137,Guliston,UZ,78.01,clear sky,40.4897,68.7842,Sadafhotel
139,Eatonton,US,94.23,broken clouds,33.3268,-83.3885,Western Motel of Eatonton
141,San Cristobal,VE,87.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
143,Sakaiminato,JP,78.78,broken clouds,35.55,133.2333,味処・民宿 まつや
144,Kadaura,IN,89.73,overcast clouds,25.9833,79.85,Mohd Siddique
145,Gabu,GW,77.49,broken clouds,12.2833,-14.2167,Hotel karsa
146,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
149,Kilindoni,TZ,76.77,clear sky,-7.9139,39.6668,Bustani B&B
151,Westport,US,84.36,broken clouds,41.1415,-73.3579,The Westport Inn
153,Jacmel,HT,96.64,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
156,Hayden,US,84.97,clear sky,47.766,-116.7866,Triple Play Resort Hotel & Suites
159,Tonk,IN,80.4,moderate rain,26.1667,75.7833,Hotel Sheetal
162,Victoria,HK,85.24,broken clouds,22.2855,114.1577,Mini Hotel Central
164,Tessalit,ML,87.33,broken clouds,20.1986,1.0114,
169,Wajir,KE,77.25,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
171,Am Timan,TD,75.99,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
172,Kalmunai,LK,78.78,broken clouds,7.4167,81.8167,VS Villa
173,Coos Bay,US,87.85,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
174,Chambas,CU,89.22,broken clouds,22.1928,-78.9136,
176,Itea,GR,80.01,clear sky,38.4333,22.4167,Trokadero Hotel Ξενοδοχείο
177,Taranagar,IN,88.45,overcast clouds,28.6709,75.0351,Jyani Plaza
178,Gonaives,HT,88.54,scattered clouds,19.45,-72.6833,Vertières Doux Séjour
179,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
180,Ravar,IR,88.43,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
182,Bud,US,87.21,few clouds,39.447,-86.1758,Ted McQuinn Trust
183,Belvidere,US,88.36,scattered clouds,42.2639,-88.8443,Americas Best Value Inn Belvidere Rockford
185,Powell,US,82.35,clear sky,40.1578,-83.0752,The Brig
186,Sawakin,SD,89.31,broken clouds,19.1059,37.3321,فندق الدويم
188,Tambopata,PE,87.69,clear sky,-12.7333,-69.1833,
189,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
190,Phan Thiet,VN,77.13,overcast clouds,10.9333,108.1,Hotel Saigon-PT
192,Vanimo,PG,77.32,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
194,Oro Valley,US,76.95,overcast clouds,32.3909,-110.9665,"El Conquistador Tucson, A Hilton Resort"
197,Yellowknife,CA,75.72,smoke,62.456,-114.3525,The Explorer Hotel
199,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
200,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
204,Jandaia Do Sul,BR,77.65,clear sky,-23.6031,-51.6433,Hotel Jandaia do Sul
213,Riyadh,SA,98.74,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
214,Ocos,GT,95.5,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
220,Lompoc,US,91.78,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
224,Rio Grande,BR,80.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
226,Solnechnyy,RU,75.69,broken clouds,50.7214,136.6319,Hotel complex Pastoral
227,Belmonte,BR,75.2,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
228,Turkan,AZ,78.98,clear sky,40.3639,50.215,Samir Зона Отдыха
229,Sainte-Claire,CA,75.42,scattered clouds,46.6006,-70.8649,Villa Prevost Inc (CHSLD ST-Claire)
233,Luganville,VU,77.85,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
235,Saint Anthony,US,94.24,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
236,Paita,PE,75.76,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
238,Goundam,ML,95.4,few clouds,16.4145,-3.6708,
241,Ambon,ID,77.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
245,Itoman,JP,81.37,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
247,Wilmington,US,86.99,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
255,North Bend,US,82.94,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
256,Manggar,ID,81.14,scattered clouds,-2.8833,108.2667,Guest Hotel
257,Palmer,US,81.21,broken clouds,42.1584,-72.3287,Wedgewood Motel
262,Moose Factory,CA,82.4,clear sky,51.2585,-80.6094,Moosonee Lilypad
263,Rawlins,US,82.29,broken clouds,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
264,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
265,Uthal,PK,83.71,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
267,Azare,NG,76.55,overcast clouds,11.6765,10.1948,Muk hostel
270,Shimoda,JP,77.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
274,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
275,Codajas,BR,84.74,overcast clouds,-3.8367,-62.0569,Hotel Tucunaré
280,Goderich,CA,78.21,scattered clouds,43.7501,-81.7165,Harmony Inn
283,Wahiawa,US,77.32,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
