City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pucallpa,PE,2021-07-17 18:41:49,-8.3791,-74.5539,89.64,58,75,8.05
1,Busselton,AU,2021-07-17 18:41:49,-33.65,115.3333,47.08,70,6,9.04
2,Hilo,US,2021-07-17 18:39:42,19.7297,-155.09,85.28,93,90,5.75
3,Cabo San Lucas,MX,2021-07-17 18:39:20,22.8909,-109.9124,95.81,69,1,14.97
4,Lebu,CL,2021-07-17 18:41:50,-37.6167,-73.65,51.06,62,2,16.42
5,Cherskiy,RU,2021-07-17 18:41:50,68.75,161.3,58.08,79,100,5.93
6,Kiruna,SE,2021-07-17 18:41:50,67.8557,20.2251,54.52,62,90,3.44
7,Luzhou,CN,2021-07-17 18:41:50,28.8724,105.4405,74.88,91,20,2.53
8,Vertientes,CU,2021-07-17 18:41:51,21.2594,-78.1464,88.41,53,79,13.51
9,Esperance,AU,2021-07-17 18:41:51,-33.8667,121.9,53.44,78,11,10.18
10,Lagoa,PT,2021-07-17 18:41:51,39.05,-27.9833,67.77,74,5,15.9
11,Alice Springs,AU,2021-07-17 18:40:45,-23.7,133.8833,40.55,65,0,3.44
12,Ushuaia,AR,2021-07-17 18:39:51,-54.8,-68.3,35.22,80,75,2.3
13,Richards Bay,ZA,2021-07-17 18:40:37,-28.783,32.0377,58.73,71,0,3.13
14,Dawlatabad,AF,2021-07-17 18:41:51,36.4141,64.9053,85.48,21,21,5.75
15,Matara,LK,2021-07-17 18:41:52,5.9485,80.5353,79.3,84,97,13.13
16,Horsham,GB,2021-07-17 18:41:52,51.064,-0.3272,80.92,30,0,6.91
17,Jacareacanga,BR,2021-07-17 18:41:52,-6.2222,-57.7528,98.58,26,66,2.95
18,Hobart,AU,2021-07-17 18:41:52,-42.8794,147.3294,49.86,84,90,11.5
19,Puerto Ayora,EC,2021-07-17 18:41:53,-0.7393,-90.3518,78.76,93,99,10.0
20,Hermanus,ZA,2021-07-17 18:41:53,-34.4187,19.2345,54.9,90,4,7.7
21,Tateyama,JP,2021-07-17 18:41:53,34.9833,139.8667,78.03,89,19,4.65
22,Rikitea,PF,2021-07-17 18:41:53,-23.1203,-134.9692,72.61,78,98,26.89
23,Nelson Bay,AU,2021-07-17 18:41:54,-32.7167,152.15,55.76,68,19,3.0
24,Kavieng,PG,2021-07-17 18:41:54,-2.5744,150.7967,82.38,80,96,13.67
25,Puerto Madryn,AR,2021-07-17 18:40:18,-42.7692,-65.0385,46.69,62,66,26.04
26,Chunskiy,RU,2021-07-17 18:41:54,56.0815,99.6342,56.97,88,39,5.97
27,Belmonte,BR,2021-07-17 18:41:55,-15.8631,-38.8828,80.6,59,0,7.34
28,Barrow,US,2021-07-17 18:41:55,71.2906,-156.7887,48.22,88,90,16.11
29,Castro,BR,2021-07-17 18:41:55,-24.7911,-50.0119,61.23,85,37,9.35
30,Saskylakh,RU,2021-07-17 18:41:55,71.9167,114.0833,47.44,66,58,7.27
